date,signal,instrument,pnl_pts,entry_num,direction,year
2025-05-22,DAX_S2,DAX,45.9,3,LONG,2025
2025-05-23,DAX_S2,DAX,28.5,1,LONG,2025
2025-05-23,DAX_S2,DAX,-84.7,2,LONG,2025
2025-05-23,DAX_S2,DAX,383.1,3,LONG,2025
2025-05-26,DAX_S2,DAX,-12.6,1,SHORT,2025
2025-05-26,DAX_S2,DAX,9.5,2,SHORT,2025
2025-05-26,DAX_S2,DAX,14.0,3,SHORT,2025
2025-05-27,DAX_S2,DAX,-35.0,1,LONG,2025
2025-05-27,DAX_S2,DAX,-1.5,2,SHORT,2025
2025-05-27,DAX_S2,DAX,-14.0,3,SHORT,2025
2025-05-28,DAX_S2,DAX,-35.4,1,LONG,2025
2025-05-28,DAX_S2,DAX,10.1,2,SHORT,2025
2025-05-28,DAX_S2,DAX,0.0,3,LONG,2025
2025-05-29,DAX_S2,DAX,-0.2,1,SHORT,2025
2025-05-29,DAX_S2,DAX,11.5,2,SHORT,2025
2025-05-29,DAX_S2,DAX,55.5,3,SHORT,2025
